"Obs","male","xeduc","raceeth","marstat","pcincQ","ksaimeQ","year","_TYPE_","_PAGE_","_TABLE_","pctoti_Mean","pcssb_Mean","pcSSI_Mean","pcinci_Mean","pcdbinc_Mean","pcearn_Mean","pcimpr_Mean","pcNotModel_Mean","pcothinc_Mean","xssb_Mean","xsssb_Mean","xearn_Mean","xsern_Mean","pcNetTOTI_Mean","pcNetCensusIncome_Mean","pcfedtax_Mean","pcstatetax_Mean","pcFICAtax_Mean","pcHItax_Mean","pcMedicareSurtax_Mean","MedicareBPremium_Mean","MedicareDPremium_Mean","PCCENSUSINCOME_Mean","pcdeltaIRA_Mean","pcint_Mean","pcdiv_Mean","pcrentinc_Mean","hpctoti_Mean","hpcssb_Mean","hpcSSI_Mean","hpcinci_Mean","hpcdbinc_Mean","hpcearn_Mean","hpcimpr_Mean","hpcNotModel_Mean","hpcothinc_Mean","hxssb_Mean","hxsssb_Mean","hxearn_Mean","hxsern_Mean","hpcNetTOTI_Mean","hpcNetCENSUSincome_Mean","hpcfedtax_Mean","hpcstatetax_Mean","hpcFICAtax_Mean","hpcHItax_Mean","hpcMedicareSurtax_Mean","hMedicareBpremium_Mean","hMedicareDpremium_Mean","hpcCensusIncome_Mean","hpcdeltaIRA_Mean","hpcint_Mean","hpcdiv_Mean","hpcrentinc_Mean"
"219",".",".","4.Other",".",".",".",2035,0010001,5,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.97640,0.79700,0.05232,0.89222,0.32693,0.41507,0.69554,0.05704,0.32221,0.76671,0.39577,0.32258,0.20265,1,0.99843,0.48745,0.37885,0.30646,0.30646,0.08772,0.90481,0.70262,0.96853,0.43978,0.45516,0.25025,0.08654
"220",".",".","4.Other",".",".",".",2045,0010001,5,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.98118,0.82058,0.03733,0.89617,0.26789,0.39333,0.70734,0.06462,0.32718,0.79363,0.38550,0.30958,0.17221,1,0.99937,0.50033,0.37547,0.29797,0.29797,0.15620,0.90527,0.70858,0.96581,0.46519,0.44636,0.25467,0.08470
"221",".",".","4.Other",".",".",".",2055,0010001,5,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.98397,0.84183,0.03048,0.90226,0.21098,0.37283,0.69548,0.05413,0.32396,0.81398,0.38807,0.28928,0.16369,1,0.99895,0.49553,0.35943,0.27903,0.27903,0.24593,0.91750,0.71965,0.97162,0.48056,0.46190,0.26511,0.06831
"222",".",".","4.Other",".",".",".",2065,0010001,5,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.98548,0.85863,0.02383,0.90992,0.17336,0.37531,0.70615,0.06580,0.31904,0.83050,0.39914,0.29635,0.17132,1,0.99955,0.51259,0.38076,0.28795,0.28795,0.34672,0.91219,0.71568,0.97254,0.49399,0.47742,0.26186,0.07170
"223",".",".",".",".",".",".",2015,0000001,1,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.98988,0.83922,0.03424,0.92957,0.48066,0.41345,0.79822,0.09264,0.16406,0.79509,0.39482,0.30553,0.22701,1,0.99983,0.49987,0.39323,0.27673,0.27673,0.02426,0.91937,0.72568,0.98393,0.34100,0.47276,0.28817,0.08283
"224",".",".",".",".",".",".",2025,0000001,1,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.98955,0.85450,0.02717,0.93867,0.45545,0.43037,0.79548,0.09192,0.16828,0.81168,0.41184,0.31915,0.22740,1,0.99968,0.53048,0.39805,0.29679,0.29679,0.05262,0.92099,0.72979,0.98407,0.44009,0.47207,0.28168,0.08140
"225",".",".",".",".",".",".",2035,0000001,1,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99100,0.87156,0.02203,0.94071,0.40489,0.39221,0.78524,0.08478,0.17041,0.83973,0.41530,0.29190,0.19891,1,0.99970,0.51914,0.38057,0.27568,0.27568,0.09581,0.92555,0.73473,0.98315,0.50787,0.47651,0.27703,0.08012
"226",".",".",".",".",".",".",2045,0000001,1,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99058,0.87112,0.01820,0.93841,0.33267,0.37417,0.76200,0.08391,0.17814,0.84340,0.39519,0.28233,0.18800,1,0.99949,0.51375,0.36743,0.26784,0.26784,0.16658,0.92595,0.73170,0.98129,0.52743,0.46358,0.26655,0.08134
"227",".",".",".",".",".",".",2055,0000001,1,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99072,0.87054,0.01382,0.93987,0.24796,0.39534,0.74697,0.08832,0.18280,0.84202,0.39578,0.29860,0.20233,1,0.99928,0.52545,0.37103,0.28547,0.28547,0.27083,0.92242,0.72850,0.98172,0.52025,0.46699,0.26513,0.08187
"228",".",".",".",".",".",".",2065,0000001,1,9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99208,0.87400,0.01103,0.94167,0.19661,0.39123,0.73947,0.08781,0.18413,0.84907,0.40148,0.29613,0.19921,1,0.99953,0.53898,0.37743,0.28304,0.28304,0.36436,0.92140,0.72824,0.98230,0.54312,0.47303,0.26859,0.08135
