"year","category","catval","percentile","wealth","ss","income"
2015,"age","2",80,215214.18,20830.99,77396.66
2015,"age","2",81,239655.05,21078.87,79787.67
2015,"age","2",82,275582.07,21280.93,82708.17
2015,"age","2",83,307626.48,21507.61,86065.74
2015,"age","2",84,338923.08,21768.85,89519.71
2015,"age","2",85,369118.71,22137.6,92630.57
2015,"age","2",86,397978.57,22415.2,95977.43
2015,"age","2",87,432350.37,22644.63,99602.71
2015,"age","2",88,460167.1,22901.75,104986.83
2015,"age","2",89,509454.33,23223.3,110520.3
2015,"age","2",90,558812.89,23610,116950.61
2015,"age","2",91,653253.74,23937.01,123331.95
2015,"age","2",92,746910.6,24351.04,133249.19
2015,"age","2",93,884291.48,24800.2,140701.41
2015,"age","2",94,1072403.2,25346.4,150018.45
2015,"age","2",95,1266999.34,25943.16,162778.1
2015,"age","2",96,1608697.35,26566.8,183589.17
2015,"age","2",97,2021454.52,27510.8,217847.7
2015,"age","2",98,2726721.78,28491.89,254162.7
2015,"age","2",99,4500953.78,30595.32,394967.5
2015,"age","2",100,124913238.83,58206.75,8214364.56
2015,"age","3",1,-1076.72,0,-56.62
2015,"age","3",2,-981.17,0,3381.11
2015,"age","3",3,-967.53,0,5772.49
2015,"age","3",4,-821.15,0,7057.97
2015,"age","3",5,-700.71,0,8395.56
2015,"age","3",6,-421.78,0,8896.94
2015,"age","3",7,-205.02,0,9391.69
2015,"age","3",8,-106.6,0,9922.46
2015,"age","3",9,-37.95,2212.55,10657.26
2015,"age","3",10,0,3780.48,11190.49
2015,"age","3",11,147.89,4714.4,11562.8
2015,"age","3",12,385.44,5506.97,12458.78
2015,"age","3",13,639.78,6124.8,13329.12
2015,"age","3",14,993.2,6794.76,13977
2015,"age","3",15,1304.68,7239.87,14610.05
2015,"age","3",16,1517.34,7617.08,15298.66
2015,"age","3",17,1809.3,7974,15673.96
2015,"age","3",18,2027.5,8436.1,16240.23
2015,"age","3",19,2404.25,8836.87,16654.97
2015,"age","3",20,2750.81,9038.49,17386.66
2015,"age","3",21,3139.94,9234.57,17874.81
2015,"age","3",22,3460.46,9572.04,18430.48
2015,"age","3",23,3876.61,9825.46,19081.93
2015,"age","3",24,4333.15,10108.29,19730.63
2015,"age","3",25,4766.94,10287.36,20312.18
2015,"age","3",26,5176.63,10494,20820.14
2015,"age","3",27,5674.71,10771.63,21300.86
2015,"age","3",28,6156.52,11028.88,21775.19
2015,"age","3",29,6754.43,11278.4,22181.18
2015,"age","3",30,7287.15,11540.6,22565.76
2015,"age","3",31,7902.6,11730,22910.04
2015,"age","3",32,8684.94,11887.44,23377.68
2015,"age","3",33,9219.35,12090.32,23879.38
2015,"age","3",34,9911.4,12302.88,24492.86
2015,"age","3",35,10529.33,12458.4,25009.92
2015,"age","3",36,11369.85,12666.62,25416.95
2015,"age","3",37,12149.76,12831.68,26083.01
2015,"age","3",38,12843.71,12991.97,26611.42
2015,"age","3",39,13590.35,13197.43,27114.02
